Name,CAS Number,SMILES,Formula,Category,Classification 1
abacavir,136470-78-5,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,C14H18N6O,B3,Antimicrobials
abemaciclib,1231929-97-7,CCN1CCN(CC2=CC=C(NC3=NC=C(F)C(=N3)C3=CC(F)=C4N=C(C)N(C(C)C)C4=C3)N=C2)CC1,C27H32F2N8,D,Antineoplastic Agents
abiraterone,154229-19-3,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,C24H31NO,D,Endocrine System
acalabrutinib,1420477-60-6,CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1,C26H23N7O2,C,Antineoplastic Agents
acamprosate,77337-76-9,CC(=O)NCCCS(O)(=O)=O,C5H11NO4S,B2,"Detoxifying Agents, Antidotes "
acarbose,56180-94-0,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO,C25H43NO18,B3,Endocrine System
acetazolamide,59-66-5,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,C4H6N4O3S2,B3,Cardiovascular System
acetylcholine,51-84-3,CC(=O)OCC[N+](C)(C)C,C7H16NO2,B2,Ophthalmic Drugs
acetylcysteine,616-91-1,CC(=O)N[C@@H](CS)C(O)=O,C5H9NO3S,B2,Respiratory System
acitretin,55079-83-9,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,C21H26O3,X,Drugs used in Dermatology
adapalene,106685-40-9,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,C28H28O3,D,Drugs used in Dermatology
adefovir,106941-25-7,NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,C8H12N5O4P,B3,Antimicrobials
adenosine,58-61-7,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,C10H13N5O4,B2,Cardiovascular System
afamelanotide,75921-69-6,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O,C78H111N21O19,B1,Drugs Used in Dermatology
afatinib,850140-72-6,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,C24H25ClFN5O3,C,Antineoplastic Agents
agomelatine,138112-76-2,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,C15H17NO2,B1,Central Nervous System
alatrofloxacin,146961-76-4,[H][C@@]12CN(C[C@]1([H])[C@H]2NC(=O)[C@H](C)NC(=O)[C@H](C)N)C1=NC2=C(C=C1F)C(=O)C(=CN2C1=CC=C(F)C=C1F)C(O)=O,C26H25F3N6O5,B3,Antimicrobials
albendazole,54965-21-8,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2,C12H15N3O2S,D,Antimicrobials
alcuronium,23214-96-2,[H][C@@]12C[C@@]3([H])\C(C[N@+]1(CC=C)CC[C@@]21C2=C(C=CC=C2)N2\C=C4/[C@]5([H])N(\C=C3/[C@@]12[H])C1=C(C=CC=C1)[C@@]51CC[N@@+]2(CC=C)C\C(=C\CO)[C@]4([H])C[C@@]12[H])=C/CO,C44H50N4O2,B2,Drugs Used in Anaesthesia
alectinib,1256580-46-7,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=CC=C(C=C3N1)C#N)C2=O,C30H34N4O2,D,Antineoplastic Agents
alfentanil,71195-58-9,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,C21H32N6O3,C,Central Nervous System
alfuzosin,81403-80-7,COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1,C19H27N5O4,B2,Genitourinary System
alimemazine,84-96-8,CC(CN(C)C)CN1C2=CC=CC=C2SC2=CC=CC=C12,C18H22N2S,C,Allergy and Immune System
